,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Patty Mills,SAS,2019-04-05,WAS,201904050WAS,20.417,5,11,.455,4,10,.400,3,4,.750,0,2,2,3,1,0,0,1,17,+6
Dāvis Bertāns,SAS,2019-04-05,WAS,201904050WAS,19.117,3,6,.500,1,4,.250,3,3,1.000,0,3,3,3,0,0,1,1,10,+15
Dante Cunningham,SAS,2019-04-05,WAS,201904050WAS,16.033,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,2,0,+2
Lonnie Walker,SAS,2019-04-05,WAS,201904050WAS,4.7,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,0,0,-6
Donatas Motiejūnas,SAS,2019-04-05,WAS,201904050WAS,4.35,1,4,.250,0,0,,0,0,,1,0,1,0,0,1,1,1,2,-6
Quincy Pondexter,SAS,2019-04-05,WAS,201904050WAS,4.35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6
Drew Eubanks,SAS,2019-04-05,WAS,201904050WAS,3.8,1,1,1.000,0,0,,0,0,,1,0,1,0,0,1,1,0,2,-6
Bobby Portis,WAS,2019-04-05,WAS,201904050WAS,37.117,6,14,.429,2,6,.333,2,2,1.000,3,6,9,2,0,0,1,3,16,-4
Troy Brown,WAS,2019-04-05,WAS,201904050WAS,32.95,5,11,.455,1,4,.250,2,2,1.000,1,3,4,3,0,1,0,2,13,-4
Thomas Bryant,WAS,2019-04-05,WAS,201904050WAS,32.0,8,10,.800,1,3,.333,2,3,.667,2,5,7,2,0,0,2,2,19,-12
Bradley Beal,WAS,2019-04-05,WAS,201904050WAS,30.683,9,19,.474,2,6,.333,5,6,.833,0,2,2,5,0,0,2,0,25,-11
Tomáš Satoranský,WAS,2019-04-05,WAS,201904050WAS,24.617,2,7,.286,0,2,.000,2,2,1.000,0,0,0,3,0,0,1,2,6,-6
Jeff Green,WAS,2019-04-05,WAS,201904050WAS,22.533,6,10,.600,0,2,.000,2,2,1.000,1,2,3,0,0,1,1,1,14,-24
Chasson Randle,WAS,2019-04-05,WAS,201904050WAS,17.317,1,4,.250,1,3,.333,2,3,.667,0,1,1,2,1,0,1,1,5,-6
Jordan McRae,WAS,2019-04-05,WAS,201904050WAS,15.05,3,7,.429,1,4,.250,0,0,,0,2,2,3,0,0,1,0,7,-13
Devin Robinson,WAS,2019-04-05,WAS,201904050WAS,14.017,1,2,.500,0,0,,2,2,1.000,1,4,5,1,0,2,0,3,4,0
Sam Dekker,WAS,2019-04-05,WAS,201904050WAS,13.717,1,4,.250,1,2,.500,0,0,,1,0,1,1,1,0,0,2,3,-5
Wesley Johnson,WAS,2019-04-05,WAS,201904050WAS,0.0,,,,,,,,,,,,,,,,,,,
Ian Mahinmi,WAS,2019-04-05,WAS,201904050WAS,0.0,,,,,,,,,,,,,,,,,,,
Jabari Parker,WAS,2019-04-05,WAS,201904050WAS,0.0,,,,,,,,,,,,,,,,,,,
Mario Hezonja,NYK,2019-04-05,HOU,201904050HOU,42.05,6,11,.545,0,3,.000,4,6,.667,1,15,16,11,1,0,4,3,16,-10
Kevin Knox,NYK,2019-04-05,HOU,201904050HOU,30.967,5,14,.357,1,4,.250,2,7,.286,0,5,5,0,0,0,2,1,13,-35
Damyean Dotson,NYK,2019-04-05,HOU,201904050HOU,27.95,3,14,.214,1,8,.125,0,0,,0,3,3,1,0,0,0,0,7,-30
Mitchell Robinson,NYK,2019-04-05,HOU,201904050HOU,27.883,5,6,.833,0,0,,2,4,.500,4,5,9,1,1,3,1,5,12,-33
Lance Thomas,NYK,2019-04-05,HOU,201904050HOU,19.1,4,10,.400,1,3,.333,1,2,.500,0,4,4,0,0,0,0,0,10,-8
John Jenkins,NYK,2019-04-05,HOU,201904050HOU,25.15,2,5,.400,2,4,.500,2,2,1.000,0,3,3,5,0,0,3,2,8,-4
Billy Garrett,NYK,2019-04-05,HOU,201904050HOU,25.117,3,7,.429,0,2,.000,2,2,1.000,0,1,1,2,1,1,1,2,8,-2
Henry Ellenson,NYK,2019-04-05,HOU,201904050HOU,22.717,6,8,.750,1,1,1.000,3,4,.750,0,7,7,0,0,0,2,3,16,-3
Luke Kornet,NYK,2019-04-05,HOU,201904050HOU,19.067,3,7,.429,0,2,.000,0,0,,0,5,5,2,0,2,2,1,6,+5
Emmanuel Mudiay,NYK,2019-04-05,HOU,201904050HOU,0.0,,,,,,,,,,,,,,,,,,,
DeAndre Jordan,NYK,2019-04-05,HOU,201904050HOU,0.0,,,,,,,,,,,,,,,,,,,
James Harden,HOU,2019-04-05,HOU,201904050HOU,29.2,8,21,.381,5,13,.385,5,5,1.000,1,8,9,8,1,1,3,2,26,+29
Chris Paul,HOU,2019-04-05,HOU,201904050HOU,23.85,4,9,.444,3,6,.500,0,0,,0,3,3,10,1,0,1,1,11,+34
Clint Capela,HOU,2019-04-05,HOU,201904050HOU,23.7,5,7,.714,0,0,,2,4,.500,2,13,15,0,0,1,0,3,12,+19
P.J. Tucker,HOU,2019-04-05,HOU,201904050HOU,23.7,4,8,.500,3,7,.429,0,0,,1,2,3,1,2,0,0,4,11,+19
Eric Gordon,HOU,2019-04-05,HOU,201904050HOU,19.783,4,9,.444,3,8,.375,2,2,1.000,0,2,2,1,1,0,0,0,13,+22
Kenneth Faried,HOU,2019-04-05,HOU,201904050HOU,24.3,6,13,.462,0,0,,1,2,.500,1,4,5,0,1,0,1,2,13,+5
Iman Shumpert,HOU,2019-04-05,HOU,201904050HOU,23.55,3,7,.429,2,6,.333,2,4,.500,0,1,1,1,0,0,0,0,10,+19
Austin Rivers,HOU,2019-04-05,HOU,201904050HOU,22.75,3,8,.375,1,4,.250,0,0,,0,2,2,3,0,0,1,1,7,-5
Gerald Green,HOU,2019-04-05,HOU,201904050HOU,19.217,3,9,.333,3,7,.429,0,0,,1,2,3,1,0,0,0,2,9,-10
Gary Clark,HOU,2019-04-05,HOU,201904050HOU,12.0,1,4,.250,1,4,.250,0,0,,1,1,2,0,1,0,0,2,3,-15
Danuel House,HOU,2019-04-05,HOU,201904050HOU,10.717,1,2,.500,0,1,.000,0,0,,0,3,3,0,1,0,0,3,2,+12
Chris Chiozza,HOU,2019-04-05,HOU,201904050HOU,7.233,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,-9
Nenê Hilário,HOU,2019-04-05,HOU,201904050HOU,0.0,,,,,,,,,,,,,,,,,,,
Jayson Tatum,BOS,2019-04-05,IND,201904050IND,34.083,9,19,.474,1,5,.200,3,4,.750,1,6,7,2,3,1,1,2,22,+15
Marcus Smart,BOS,2019-04-05,IND,201904050IND,27.883,1,7,.143,1,6,.167,3,3,1.000,0,3,3,5,0,1,3,3,6,-1
Kyrie Irving,BOS,2019-04-05,IND,201904050IND,27.0,7,14,.500,1,3,.333,2,2,1.000,0,3,3,6,0,0,0,2,17,+10
Aron Baynes,BOS,2019-04-05,IND,201904050IND,26.833,5,8,.625,1,1,1.000,0,0,,3,8,11,2,1,2,0,2,11,+3
Al Horford,BOS,2019-04-05,IND,201904050IND,26.767,5,8,.625,1,2,.500,0,0,,0,7,7,2,1,1,2,0,11,+20
Gordon Hayward,BOS,2019-04-05,IND,201904050IND,25.55,9,9,1.000,0,0,,3,3,1.000,0,4,4,2,1,0,1,0,21,+23
Marcus Morris,BOS,2019-04-05,IND,201904050IND,24.417,4,13,.308,1,5,.200,2,2,1.000,1,5,6,3,0,1,1,2,11,+14
Brad Wanamaker,BOS,2019-04-05,IND,201904050IND,17.083,4,5,.800,0,1,.000,1,1,1.000,0,2,2,3,0,0,1,1,9,+10
Daniel Theis,BOS,2019-04-05,IND,201904050IND,11.883,0,2,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,3,0,+4
Terry Rozier,BOS,2019-04-05,IND,201904050IND,6.883,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,+7
Guerschon Yabusele,BOS,2019-04-05,IND,201904050IND,4.833,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,2,0,2,-1
Robert Williams,BOS,2019-04-05,IND,201904050IND,3.383,2,2,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,0,4,-2
Semi Ojeleye,BOS,2019-04-05,IND,201904050IND,3.383,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-2
Thaddeus Young,IND,2019-04-05,IND,201904050IND,28.633,5,10,.500,0,2,.000,0,2,.000,1,4,5,3,0,0,1,1,10,-24
Myles Turner,IND,2019-04-05,IND,201904050IND,27.583,5,8,.625,2,2,1.000,3,4,.750,1,6,7,1,0,1,0,2,15,-6
Bojan Bogdanović,IND,2019-04-05,IND,201904050IND,24.4,1,8,.125,0,3,.000,2,2,1.000,0,3,3,2,0,0,1,1,4,-7
Cory Joseph,IND,2019-04-05,IND,201904050IND,24.383,3,8,.375,1,2,.500,0,0,,0,4,4,8,1,0,1,1,7,-6
Wesley Matthews,IND,2019-04-05,IND,201904050IND,21.767,4,10,.400,2,6,.333,0,0,,0,2,2,2,0,0,2,1,10,-15
Tyreke Evans,IND,2019-04-05,IND,201904050IND,24.417,4,9,.444,1,1,1.000,3,6,.500,1,6,7,1,0,0,1,2,12,-12
Aaron Holiday,IND,2019-04-05,IND,201904050IND,23.6,4,8,.500,2,4,.500,1,2,.500,1,2,3,1,0,0,3,2,11,-14
Domantas Sabonis,IND,2019-04-05,IND,201904050IND,22.583,6,10,.600,0,0,,0,0,,2,4,6,3,2,0,2,1,12,-16
Doug McDermott,IND,2019-04-05,IND,201904050IND,18.65,4,7,.571,2,3,.667,1,2,.500,0,1,1,1,1,0,0,2,11,-10
T.J. Leaf,IND,2019-04-05,IND,201904050IND,10.767,0,8,.000,0,0,,0,0,,3,2,5,1,0,2,0,1,0,+2
Kyle O'Quinn,IND,2019-04-05,IND,201904050IND,6.417,1,4,.250,0,0,,0,0,,1,1,2,1,0,0,0,0,2,+4
Edmond Sumner,IND,2019-04-05,IND,201904050IND,3.383,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,1,0,0,0,3,+2
Alize Johnson,IND,2019-04-05,IND,201904050IND,3.383,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
Goran Dragić,MIA,2019-04-05,MIN,201904050MIN,38.083,6,13,.462,1,4,.250,2,3,.667,4,3,7,9,4,0,2,2,15,-4
Justise Winslow,MIA,2019-04-05,MIN,201904050MIN,37.133,6,15,.400,1,6,.167,0,0,,0,7,7,4,1,1,4,5,13,-7
Dion Waiters,MIA,2019-04-05,MIN,201904050MIN,33.033,8,17,.471,6,12,.500,0,2,.000,0,0,0,0,0,0,1,4,22,-15
Bam Adebayo,MIA,2019-04-05,MIN,201904050MIN,32.117,4,6,.667,0,0,,0,0,,1,3,4,0,4,0,1,3,8,-7
Kelly Olynyk,MIA,2019-04-05,MIN,201904050MIN,17.25,0,1,.000,0,1,.000,0,0,,0,4,4,1,0,2,2,1,0,-8
Dwyane Wade,MIA,2019-04-05,MIN,201904050MIN,28.65,8,16,.500,1,5,.200,7,7,1.000,0,3,3,3,1,0,3,2,24,+13
James Johnson,MIA,2019-04-05,MIN,201904050MIN,28.183,7,11,.636,1,4,.250,0,0,,0,2,2,5,0,0,2,4,15,+3
Hassan Whiteside,MIA,2019-04-05,MIN,201904050MIN,15.883,4,5,.800,0,0,,0,0,,2,5,7,0,0,2,2,1,8,+5
Rodney McGruder,MIA,2019-04-05,MIN,201904050MIN,9.667,2,4,.500,0,2,.000,0,0,,2,2,4,2,0,1,0,1,4,+10
Udonis Haslem,MIA,2019-04-05,MIN,201904050MIN,0.0,,,,,,,,,,,,,,,,,,,
Yante Maten,MIA,2019-04-05,MIN,201904050MIN,0.0,,,,,,,,,,,,,,,,,,,
Derrick Jones,MIA,2019-04-05,MIN,201904050MIN,0.0,,,,,,,,,,,,,,,,,,,
Duncan Robinson,MIA,2019-04-05,MIN,201904050MIN,0.0,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,MIN,2019-04-05,MIN,201904050MIN,36.3,7,12,.583,2,5,.400,2,3,.667,0,2,2,1,1,0,3,2,18,+15
Tyus Jones,MIN,2019-04-05,MIN,201904050MIN,30.917,6,11,.545,0,2,.000,0,0,,0,6,6,4,2,0,0,1,12,+6
Dario Šarić,MIN,2019-04-05,MIN,201904050MIN,28.8,6,10,.600,2,4,.500,5,5,1.000,1,6,7,5,0,0,1,1,19,+9
Karl-Anthony Towns,MIN,2019-04-05,MIN,201904050MIN,28.667,5,10,.500,1,2,.500,2,2,1.000,2,10,12,4,1,0,11,4,13,+6
Josh Okogie,MIN,2019-04-05,MIN,201904050MIN,22.283,2,7,.286,0,2,.000,2,2,1.000,0,0,0,2,5,0,0,2,6,+6
Keita Bates-Diop,MIN,2019-04-05,MIN,201904050MIN,24.883,4,9,.444,0,2,.000,1,2,.500,3,2,5,1,0,0,1,2,9,-6
Gorgui Dieng,MIN,2019-04-05,MIN,201904050MIN,22.117,8,15,.533,0,2,.000,3,4,.750,2,2,4,1,1,2,0,3,19,-7
Jerryd Bayless,MIN,2019-04-05,MIN,201904050MIN,17.083,2,5,.400,1,1,1.000,0,0,,0,2,2,5,0,0,2,3,5,-4
Anthony Tolliver,MIN,2019-04-05,MIN,201904050MIN,16.35,2,5,.400,1,2,.500,2,3,.667,1,4,5,2,0,0,0,0,7,-4
Cameron Reynolds,MIN,2019-04-05,MIN,201904050MIN,12.6,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-11
Jared Terrell,MIN,2019-04-05,MIN,201904050MIN,0.0,,,,,,,,,,,,,,,,,,,
C.J. Williams,MIN,2019-04-05,MIN,201904050MIN,0.0,,,,,,,,,,,,,,,,,,,
Mitch Creek,MIN,2019-04-05,MIN,201904050MIN,0.0,,,,,,,,,,,,,,,,,,,
Blake Griffin,DET,2019-04-05,OKC,201904050OKC,34.583,11,20,.550,9,14,.643,14,16,.875,0,7,7,3,2,0,1,0,45,-11
Wayne Ellington,DET,2019-04-05,OKC,201904050OKC,31.083,3,12,.250,2,9,.222,0,0,,1,3,4,3,1,0,0,3,8,+1
Reggie Jackson,DET,2019-04-05,OKC,201904050OKC,27.417,4,14,.286,2,8,.250,0,1,.000,0,1,1,3,1,0,2,4,10,-2
Andre Drummond,DET,2019-04-05,OKC,201904050OKC,26.883,2,3,.667,0,0,,0,2,.000,2,7,9,0,1,5,5,3,4,-6
Bruce Brown,DET,2019-04-05,OKC,201904050OKC,20.467,2,3,.667,0,1,.000,1,1,1.000,0,2,2,2,2,0,1,1,5,0
Langston Galloway,DET,2019-04-05,OKC,201904050OKC,26.333,4,10,.400,1,5,.200,2,2,1.000,1,1,2,1,0,0,0,2,11,-12
Ish Smith,DET,2019-04-05,OKC,201904050OKC,20.583,5,10,.500,0,0,,2,2,1.000,0,3,3,4,1,0,2,2,12,-11
Thon Maker,DET,2019-04-05,OKC,201904050OKC,17.3,3,5,.600,1,3,.333,1,2,.500,0,1,1,1,1,3,1,5,8,-10
Zaza Pachulia,DET,2019-04-05,OKC,201904050OKC,17.233,1,1,1.000,0,0,,5,5,1.000,0,2,2,1,0,0,1,2,7,+1
Luke Kennard,DET,2019-04-05,OKC,201904050OKC,15.517,0,2,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,1,0,-13
Khyri Thomas,DET,2019-04-05,OKC,201904050OKC,1.3,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Glenn Robinson,DET,2019-04-05,OKC,201904050OKC,1.3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Jon Leuer,DET,2019-04-05,OKC,201904050OKC,0.0,,,,,,,,,,,,,,,,,,,
Paul George,OKC,2019-04-05,OKC,201904050OKC,36.2,11,24,.458,4,7,.571,4,4,1.000,2,6,8,4,2,0,4,1,30,+5
Russell Westbrook,OKC,2019-04-05,OKC,201904050OKC,35.2,6,18,.333,1,4,.250,6,10,.600,1,7,8,15,1,0,4,2,19,+4
Jerami Grant,OKC,2019-04-05,OKC,201904050OKC,34.083,8,16,.500,3,8,.375,0,2,.000,0,7,7,0,0,0,1,3,19,+3
Terrance Ferguson,OKC,2019-04-05,OKC,201904050OKC,28.367,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,1,3,2,-2
Steven Adams,OKC,2019-04-05,OKC,201904050OKC,23.917,7,9,.778,0,0,,0,0,,8,6,14,0,0,2,2,4,14,+1
Dennis Schröder,OKC,2019-04-05,OKC,201904050OKC,30.683,6,14,.429,1,5,.200,1,1,1.000,2,5,7,10,1,0,1,2,14,+22
Markieff Morris,OKC,2019-04-05,OKC,201904050OKC,17.317,5,12,.417,1,2,.500,1,1,1.000,5,0,5,1,0,0,0,4,12,+6
Nerlens Noel,OKC,2019-04-05,OKC,201904050OKC,15.85,2,2,1.000,0,0,,2,2,1.000,2,2,4,0,4,2,3,3,6,+12
Raymond Felton,OKC,2019-04-05,OKC,201904050OKC,11.5,2,4,.500,2,2,1.000,0,0,,0,1,1,0,1,0,0,1,6,+8
Patrick Patterson,OKC,2019-04-05,OKC,201904050OKC,4.083,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,+3
Abdel Nader,OKC,2019-04-05,OKC,201904050OKC,1.3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Deonte Burton,OKC,2019-04-05,OKC,201904050OKC,0.75,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,+1
Hamidou Diallo,OKC,2019-04-05,OKC,201904050OKC,0.75,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+1
Delon Wright,MEM,2019-04-05,DAL,201904050DAL,39.05,10,19,.526,2,6,.333,4,5,.800,1,9,10,14,2,0,0,1,26,+20
Justin Holiday,MEM,2019-04-05,DAL,201904050DAL,32.35,8,13,.615,3,6,.500,1,1,1.000,0,1,1,2,2,1,1,2,20,-6
Ivan Rabb,MEM,2019-04-05,DAL,201904050DAL,30.083,5,12,.417,0,1,.000,2,2,1.000,5,3,8,2,0,0,0,2,12,+9
Bruno Caboclo,MEM,2019-04-05,DAL,201904050DAL,29.217,3,9,.333,3,7,.429,0,0,,2,4,6,4,0,1,3,1,9,-6
Tyler Dorsey,MEM,2019-04-05,DAL,201904050DAL,26.067,7,15,.467,1,7,.143,2,2,1.000,1,8,9,1,0,0,1,1,17,+2
Jevon Carter,MEM,2019-04-05,DAL,201904050DAL,22.283,3,9,.333,3,7,.429,1,2,.500,1,3,4,2,0,0,2,1,10,+3
Chandler Parsons,MEM,2019-04-05,DAL,201904050DAL,19.883,4,8,.500,3,4,.750,0,0,,0,4,4,2,0,0,1,3,11,+12
Tyler Zeller,MEM,2019-04-05,DAL,201904050DAL,17.917,3,6,.500,0,0,,4,4,1.000,2,1,3,0,1,0,0,3,10,+1
Julian Washburn,MEM,2019-04-05,DAL,201904050DAL,16.75,2,4,.500,1,3,.333,0,0,,0,3,3,2,1,0,1,1,5,+10
Yuta Watanabe,MEM,2019-04-05,DAL,201904050DAL,6.4,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,1,1,2,+5
Mike Conley,MEM,2019-04-05,DAL,201904050DAL,0.0,,,,,,,,,,,,,,,,,,,
Joakim Noah,MEM,2019-04-05,DAL,201904050DAL,0.0,,,,,,,,,,,,,,,,,,,
Justin Jackson,DAL,2019-04-05,DAL,201904050DAL,31.9,7,15,.467,3,7,.429,2,2,1.000,2,4,6,3,1,0,0,2,19,+14
Courtney Lee,DAL,2019-04-05,DAL,201904050DAL,30.367,9,15,.600,3,6,.500,0,0,,2,2,4,7,3,0,1,2,21,+5
Trey Burke,DAL,2019-04-05,DAL,201904050DAL,27.45,4,7,.571,0,2,.000,5,6,.833,0,0,0,3,0,0,0,1,13,+10
Dirk Nowitzki,DAL,2019-04-05,DAL,201904050DAL,24.983,5,12,.417,2,5,.400,0,0,,0,7,7,1,0,0,0,3,12,-20
Maxi Kleber,DAL,2019-04-05,DAL,201904050DAL,20.867,2,9,.222,1,4,.250,1,2,.500,3,2,5,1,0,0,1,0,6,-9
Ryan Broekhoff,DAL,2019-04-05,DAL,201904050DAL,24.333,3,6,.500,1,3,.333,2,4,.500,2,4,6,1,0,0,1,2,9,-17
Daryl Macon,DAL,2019-04-05,DAL,201904050DAL,21.05,4,9,.444,3,6,.500,0,0,,1,1,2,1,0,0,2,1,11,-15
Devin Harris,DAL,2019-04-05,DAL,201904050DAL,20.9,1,8,.125,1,7,.143,0,0,,0,3,3,3,0,1,1,0,3,-22
Salah Mejri,DAL,2019-04-05,DAL,201904050DAL,19.467,4,9,.444,2,3,.667,2,6,.333,0,5,5,5,0,3,1,1,12,-1
Dorian Finney-Smith,DAL,2019-04-05,DAL,201904050DAL,18.683,2,6,.333,1,4,.250,1,1,1.000,1,3,4,3,0,0,2,1,6,+5
Kostas Antetokounmpo,DAL,2019-04-05,DAL,201904050DAL,0.0,,,,,,,,,,,,,,,,,,,
Marvin Bagley,SAC,2019-04-05,UTA,201904050UTA,30.1,4,16,.250,0,0,,5,9,.556,4,8,12,2,0,1,5,2,13,-17
Harrison Barnes,SAC,2019-04-05,UTA,201904050UTA,27.2,3,7,.429,1,2,.500,0,0,,0,7,7,1,1,0,1,0,7,-12
Buddy Hield,SAC,2019-04-05,UTA,201904050UTA,26.217,7,17,.412,3,7,.429,0,0,,1,2,3,0,1,0,0,3,17,-14
Nemanja Bjelica,SAC,2019-04-05,UTA,201904050UTA,25.45,3,10,.300,1,4,.250,3,4,.750,1,2,3,0,1,0,0,3,10,-25
De'Aaron Fox,SAC,2019-04-05,UTA,201904050UTA,7.917,2,5,.400,0,0,,0,0,,0,1,1,1,1,0,1,3,4,-16
Yogi Ferrell,SAC,2019-04-05,UTA,201904050UTA,36.05,4,9,.444,0,2,.000,5,5,1.000,0,1,1,5,0,0,1,3,13,-5
Bogdan Bogdanović,SAC,2019-04-05,UTA,201904050UTA,24.767,4,7,.571,0,1,.000,2,3,.667,1,2,3,4,0,0,3,0,10,-10
Corey Brewer,SAC,2019-04-05,UTA,201904050UTA,18.5,1,5,.200,0,1,.000,0,0,,3,2,5,2,3,0,1,2,2,-12
Kosta Koufos,SAC,2019-04-05,UTA,201904050UTA,12.1,3,4,.750,0,0,,0,0,,1,3,4,0,0,0,1,2,6,-8
Troy Williams,SAC,2019-04-05,UTA,201904050UTA,12.0,2,4,.500,0,1,.000,0,0,,1,1,2,1,0,0,1,0,4,+5
Caleb Swanigan,SAC,2019-04-05,UTA,201904050UTA,10.9,2,3,.667,0,1,.000,0,2,.000,0,3,3,1,0,0,1,3,4,+5
Frank Mason,SAC,2019-04-05,UTA,201904050UTA,8.8,3,5,.600,0,2,.000,2,2,1.000,0,3,3,0,0,0,3,2,8,+4
Alec Burks,SAC,2019-04-05,UTA,201904050UTA,0.0,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,UTA,2019-04-05,UTA,201904050UTA,31.567,9,19,.474,2,5,.400,3,3,1.000,0,5,5,9,1,0,0,0,23,+17
Rudy Gobert,UTA,2019-04-05,UTA,201904050UTA,29.433,6,10,.600,0,0,,5,8,.625,3,8,11,1,3,4,2,5,17,+12
Joe Ingles,UTA,2019-04-05,UTA,201904050UTA,27.867,5,12,.417,5,9,.556,2,4,.500,1,3,4,7,1,0,4,0,17,+20
Jae Crowder,UTA,2019-04-05,UTA,201904050UTA,16.65,2,10,.200,1,7,.143,2,2,1.000,1,2,3,1,0,0,0,2,7,+16
Ricky Rubio,UTA,2019-04-05,UTA,201904050UTA,4.9,1,1,1.000,0,0,,2,4,.500,0,2,2,0,0,0,1,1,4,+13
Royce O'Neale,UTA,2019-04-05,UTA,201904050UTA,31.233,1,3,.333,0,2,.000,0,0,,0,4,4,3,0,1,2,5,2,+7
Grayson Allen,UTA,2019-04-05,UTA,201904050UTA,26.367,10,14,.714,3,4,.750,0,0,,0,0,0,2,1,1,6,5,23,+7
Thabo Sefolosha,UTA,2019-04-05,UTA,201904050UTA,25.667,2,6,.333,1,2,.500,1,2,.500,0,2,2,1,0,0,0,1,6,+3
Georges Niang,UTA,2019-04-05,UTA,201904050UTA,20.083,3,3,1.000,2,2,1.000,0,0,,0,4,4,4,1,0,0,3,8,+3
Ekpe Udoh,UTA,2019-04-05,UTA,201904050UTA,15.483,3,4,.750,0,0,,1,2,.500,2,6,8,1,2,0,0,3,7,+8
Tyler Cavanaugh,UTA,2019-04-05,UTA,201904050UTA,3.833,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-1
Naz Mitrou-Long,UTA,2019-04-05,UTA,201904050UTA,3.833,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1
Tony Bradley,UTA,2019-04-05,UTA,201904050UTA,3.083,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+1
Elfrid Payton,NOP,2019-04-05,PHO,201904050PHO,43.417,6,14,.429,2,3,.667,0,0,,0,5,5,12,2,0,3,5,14,-17
Ian Clark,NOP,2019-04-05,PHO,201904050PHO,39.55,9,17,.529,4,7,.571,2,2,1.000,0,4,4,4,2,1,1,4,24,-8
Kenrich Williams,NOP,2019-04-05,PHO,201904050PHO,38.367,3,7,.429,1,3,.333,2,2,1.000,2,2,4,4,0,2,0,3,9,-13
Julius Randle,NOP,2019-04-05,PHO,201904050PHO,38.05,13,24,.542,0,2,.000,5,11,.455,6,8,14,3,0,0,5,2,31,-14
Jahlil Okafor,NOP,2019-04-05,PHO,201904050PHO,23.967,4,11,.364,0,0,,3,3,1.000,2,4,6,3,0,0,3,1,11,-8
Solomon Hill,NOP,2019-04-05,PHO,201904050PHO,29.167,2,8,.250,0,3,.000,1,1,1.000,1,2,3,0,0,0,3,4,5,+9
Cheick Diallo,NOP,2019-04-05,PHO,201904050PHO,22.633,6,9,.667,0,0,,0,0,,2,9,11,0,0,0,0,1,12,+8
Christian Wood,NOP,2019-04-05,PHO,201904050PHO,15.8,5,7,.714,0,2,.000,7,8,.875,2,3,5,0,0,1,0,1,17,+6
Dairis Bertāns,NOP,2019-04-05,PHO,201904050PHO,14.05,1,4,.250,1,3,.333,0,0,,0,1,1,2,0,0,0,0,3,+2
Stanley Johnson,NOP,2019-04-05,PHO,201904050PHO,0.0,,,,,,,,,,,,,,,,,,,
Darius Miller,NOP,2019-04-05,PHO,201904050PHO,0.0,,,,,,,,,,,,,,,,,,,
Anthony Davis,NOP,2019-04-05,PHO,201904050PHO,0.0,,,,,,,,,,,,,,,,,,,
Frank Jackson,NOP,2019-04-05,PHO,201904050PHO,0.0,,,,,,,,,,,,,,,,,,,
Josh Jackson,PHO,2019-04-05,PHO,201904050PHO,46.2,15,29,.517,5,8,.625,0,0,,1,8,9,5,2,0,0,3,35,+12
Mikal Bridges,PHO,2019-04-05,PHO,201904050PHO,43.733,2,11,.182,0,3,.000,5,5,1.000,0,4,4,4,1,1,0,2,9,+16
Dragan Bender,PHO,2019-04-05,PHO,201904050PHO,37.683,4,7,.571,0,3,.000,3,6,.500,2,8,10,6,0,7,1,6,11,+12
Ray Spalding,PHO,2019-04-05,PHO,201904050PHO,29.15,10,13,.769,0,0,,1,2,.500,7,6,13,0,3,3,1,3,21,+3
Elie Okobo,PHO,2019-04-05,PHO,201904050PHO,23.3,3,7,.429,1,5,.200,0,0,,0,1,1,3,1,0,1,0,7,+2
Jamal Crawford,PHO,2019-04-05,PHO,201904050PHO,34.25,9,21,.429,4,9,.444,6,6,1.000,0,2,2,7,3,0,3,0,28,-3
De'Anthony Melton,PHO,2019-04-05,PHO,201904050PHO,27.133,3,7,.429,0,1,.000,2,2,1.000,3,2,5,2,1,0,1,1,8,+9
