,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Noah Vonleh,NYK,2018-10-17,NYK,201810170NYK,16.367,5,5,1.000,0,0,,2,4,.500,5,5,10,3,0,0,0,1,12,+22
Mitchell Robinson,NYK,2018-10-17,NYK,201810170NYK,1.3,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
Courtney Lee,NYK,2018-10-17,NYK,201810170NYK,0.0,,,,,,,,,,,,,,,,,,,
Damyean Dotson,NYK,2018-10-17,NYK,201810170NYK,0.0,,,,,,,,,,,,,,,,,,,
Kevin Love,CLE,2018-10-17,TOR,201810170TOR,34.083,5,18,.278,1,4,.250,10,14,.714,2,5,7,2,0,0,3,5,21,-3
Cedi Osman,CLE,2018-10-17,TOR,201810170TOR,33.083,5,10,.500,2,2,1.000,5,6,.833,3,7,10,4,2,0,3,1,17,-21
George Hill,CLE,2018-10-17,TOR,201810170TOR,31.45,5,11,.455,2,3,.667,3,4,.750,1,1,2,7,0,0,1,3,15,-10
Tristan Thompson,CLE,2018-10-17,TOR,201810170TOR,27.083,1,5,.200,0,0,,1,2,.500,5,8,13,1,0,0,4,2,3,-20
Rodney Hood,CLE,2018-10-17,TOR,201810170TOR,26.317,5,13,.385,0,2,.000,2,2,1.000,1,1,2,1,1,0,0,3,12,-12
Jordan Clarkson,CLE,2018-10-17,TOR,201810170TOR,23.15,7,15,.467,1,4,.250,0,0,,0,3,3,0,0,0,0,3,15,-8
Collin Sexton,CLE,2018-10-17,TOR,201810170TOR,17.717,2,7,.286,0,1,.000,5,5,1.000,1,2,3,0,0,0,4,4,9,0
Sam Dekker,CLE,2018-10-17,TOR,201810170TOR,16.267,1,2,.500,0,1,.000,2,4,.500,1,5,6,0,1,0,1,1,4,-10
Ante Žižić,CLE,2018-10-17,TOR,201810170TOR,14.4,2,2,1.000,0,0,,1,2,.500,0,3,3,2,0,0,0,2,5,+11
Kyle Korver,CLE,2018-10-17,TOR,201810170TOR,14.017,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+13
David Nwaba,CLE,2018-10-17,TOR,201810170TOR,1.7,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
John Holland,CLE,2018-10-17,TOR,201810170TOR,0.733,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Channing Frye,CLE,2018-10-17,TOR,201810170TOR,0.0,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,TOR,2018-10-17,TOR,201810170TOR,37.25,9,22,.409,1,3,.333,5,6,.833,1,11,12,2,0,0,2,3,24,+13
Kyle Lowry,TOR,2018-10-17,TOR,201810170TOR,35.583,10,12,.833,5,6,.833,2,3,.667,0,1,1,8,1,1,3,1,27,+12
Danny Green,TOR,2018-10-17,TOR,201810170TOR,32.75,4,9,.444,3,7,.429,0,0,,1,4,5,0,2,2,0,3,11,+15
Jonas Valančiūnas,TOR,2018-10-17,TOR,201810170TOR,20.4,3,8,.375,0,2,.000,0,0,,2,10,12,3,0,0,0,2,6,+13
Pascal Siakam,TOR,2018-10-17,TOR,201810170TOR,19.95,6,8,.750,1,1,1.000,0,0,,0,2,2,2,0,1,0,2,13,+11
Serge Ibaka,TOR,2018-10-17,TOR,201810170TOR,27.183,2,10,.200,1,3,.333,4,6,.667,4,3,7,1,2,3,2,6,9,-1
Fred VanVleet,TOR,2018-10-17,TOR,201810170TOR,25.4,6,14,.429,1,5,.200,1,3,.333,0,2,2,5,0,0,1,4,14,-4
OG Anunoby,TOR,2018-10-17,TOR,201810170TOR,17.533,2,3,.667,0,1,.000,0,0,,0,0,0,0,1,0,1,1,4,-2
Norman Powell,TOR,2018-10-17,TOR,201810170TOR,12.417,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,4,5,0
C.J. Miles,TOR,2018-10-17,TOR,201810170TOR,10.383,1,3,.333,1,3,.333,0,2,.000,0,1,1,0,0,0,0,3,3,+4
Lorenzo Brown,TOR,2018-10-17,TOR,201810170TOR,0.733,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Malachi Richardson,TOR,2018-10-17,TOR,201810170TOR,0.417,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Greg Monroe,TOR,2018-10-17,TOR,201810170TOR,0.0,,,,,,,,,,,,,,,,,,,
Anthony Davis,NOP,2018-10-17,HOU,201810170HOU,39.117,13,21,.619,0,0,,6,7,.857,2,14,16,8,3,3,1,5,32,+23
Jrue Holiday,NOP,2018-10-17,HOU,201810170HOU,38.267,5,12,.417,0,6,.000,0,0,,0,3,3,8,2,0,3,3,10,+26
Elfrid Payton,NOP,2018-10-17,HOU,201810170HOU,36.867,5,13,.385,0,2,.000,0,2,.000,1,9,10,10,1,0,1,3,10,+23
